teams,percent_winners
Brazil,1.6031624025474909
Mexico,1.4604150653343582
Spain,1.3231580103217306
USA,1.3121774459207203
Germany,1.3011968815197101
Saudi Arabia,1.295706599319205
France,1.246294059514659
Japan,1.2243329307126385
Argentina,1.1639398265070826
IR Iran,1.1639398265070826
Korea Republic,1.1584495443065774
Egypt,1.136488415504557
Netherlands,1.0925661579005161
Portugal,1.0706050290984956
England,1.0596244646974855
Italy,1.0321730536949598
Sweden,0.9937410782914241
Qatar,0.9607993850883935
Zambia,0.9443285384868781
Côte d'Ivoire,0.9388382562863732
Tunisia,0.9388382562863732
Oman,0.933347974085868
Croatia,0.9223674096848578
Czech Republic,0.9223674096848578
Morocco,0.9223674096848578
Nigeria,0.9113868452838476
South Africa,0.9004062808828375
Colombia,0.8949159986823323
United Arab Emirates,0.8894257164818271
Australia,0.878445152080817
Belgium,0.8674645876798068
Denmark,0.8619743054793017
Poland,0.8564840232787965
Costa Rica,0.8509937410782915
Senegal,0.834522894476776
China PR,0.834522894476776
Romania,0.834522894476776
Turkey,0.829032612276271
Chile,0.8235423300757658
Jamaica,0.8180520478752608
Ghana,0.8125617656747557
Norway,0.8070714834742506
Uruguay,0.8070714834742506
Bahrain,0.8015812012737454
Russia,0.8015812012737454
Trinidad and Tobago,0.8015812012737454
Iraq,0.7960909190732404
Cameroon,0.7906006368727353
Greece,0.779620072471725
Thailand,0.779620072471725
Honduras,0.7631492258702097
Kuwait,0.7521686614691995
Switzerland,0.7466783792686944
Uganda,0.7466783792686944
Algeria,0.7247172504666739
Jordan,0.7192269682661688
Mali,0.7137366860656638
Ukraine,0.7082464038651587
Ecuador,0.6917755572636434
Zimbabwe,0.6917755572636434
Uzbekistan,0.6862852750631383
Slovakia,0.675304710662128
Republic of Ireland,0.6423630174590974
Syria,0.6313824530580872
Finland,0.6258921708575821
Paraguay,0.6204018886570769
Hungary,0.6149116064565718
Panama,0.6094213242560668
Austria,0.5929504776545514
Scotland,0.5874601954540464
Peru,0.5819699132535413
Bulgaria,0.5819699132535413
Angola,0.5819699132535413
Guatemala,0.5764796310530361
Kenya,0.5600087844515208
Singapore,0.5545185022510157
Burkina Faso,0.5490282200505106
Guinea,0.5490282200505106
Iceland,0.5435379378500055
Israel,0.5435379378500055
El Salvador,0.5215768090479851
Bosnia and Herzegovina,0.5160865268474799
Malaysia,0.5160865268474799
Slovenia,0.5105962446469748
Estonia,0.5105962446469748
Canada,0.5051059624464697
Indonesia,0.4941253980454596
India,0.4886351158449544
Sudan,0.4831448336444493
Gabon,0.4831448336444493
Wales,0.4831448336444493
Haiti,0.47765455144394425
Mozambique,0.47216426924343907
Vietnam,0.4611837048424289
Venezuela,0.4611837048424289
Congo DR,0.45020314044141874
Cuba,0.44471285824091356
Malawi,0.44471285824091356
Serbia,0.4392225760404085
Latvia,0.4337322938399034
North Macedonia,0.4337322938399034
Tanzania,0.4337322938399034
Rwanda,0.4337322938399034
Togo,0.42824201163939823
Korea DPR,0.42824201163939823
Belarus,0.42824201163939823
Libya,0.42275172943889316
Georgia,0.417261447238388
Albania,0.417261447238388
Lithuania,0.4117711650378829
Botswana,0.39530031843636765
Ethiopia,0.3843197540353574
New Zealand,0.3843197540353574
Northern Ireland,0.3788294718348523
Namibia,0.36235862523333695
Myanmar,0.36235862523333695
Lebanon,0.3568683430328319
Bolivia,0.3513780608323268
Cyprus,0.34039749643131656
Tajikistan,0.3349072142308115
Armenia,0.32392664982980124
Hong Kong,0.3184363676292961
Philippines,0.31294608542879104
Cabo Verde,0.31294608542879104
Congo,0.3074558032282859
Barbados,0.3074558032282859
St. Kitts and Nevis,0.2964752388272757
Burundi,0.2964752388272757
Palestine,0.2854946744262655
Maldives,0.2800043922257604
Benin,0.2690238278247502
Kyrgyz Republic,0.2635335456242451
Solomon Islands,0.2635335456242451
Kazakhstan,0.2635335456242451
Fiji,0.25804326342373995
Turkmenistan,0.25804326342373995
Antigua and Barbuda,0.25255298122323483
Liberia,0.25255298122323483
Azerbaijan,0.25255298122323483
Moldova,0.2470626990227298
Sierra Leone,0.24157241682222466
Eswatini,0.24157241682222466
Madagascar,0.23608213462171954
Grenada,0.23608213462171954
Montenegro,0.23608213462171954
St. Lucia,0.23059185242121444
Bangladesh,0.23059185242121444
Lesotho,0.22510157022070937
Suriname,0.21961128802020424
Dominican Republic,0.21961128802020424
Mauritania,0.21412100581969912
Tahiti,0.21412100581969912
Yemen,0.208630723619194
Guyana,0.208630723619194
Nepal,0.20314044141868892
Gambia,0.19765015921818382
Sri Lanka,0.19765015921818382
Malta,0.1921598770176787
Equatorial Guinea,0.1866695948171736
Niger,0.18117931261666848
Bermuda,0.18117931261666848
New Caledonia,0.18117931261666848
Faroe Islands,0.1756890304161634
Cambodia,0.17019874821565828
Nicaragua,0.17019874821565828
Afghanistan,0.17019874821565828
Vanuatu,0.16470846601515318
Luxembourg,0.16470846601515318
St. Vincent and the Grenadines,0.15921818381464806
Laos,0.15921818381464806
Mauritius,0.14274733721313276
Dominica,0.14274733721313276
Guinea-Bissau,0.13176677281212254
Chinese Taipei,0.12627649061161741
Curaçao,0.12078620841111233
Pakistan,0.11529592621060722
Kosovo,0.11529592621060722
Puerto Rico,0.09882507960909191
Belize,0.09882507960909191
Central African Republic,0.0933347974085868
Mongolia,0.0933347974085868
Chad,0.0878445152080817
Liechtenstein,0.08235423300757659
Papua New Guinea,0.07686395080707148
Comoros,0.07686395080707148
Macau,0.07137366860656638
Samoa,0.06588338640606127
Cayman Islands,0.06588338640606127
Seychelles,0.060393104205556165
Andorra,0.060393104205556165
Bahamas,0.060393104205556165
South Sudan,0.05490282200505106
Aruba,0.05490282200505106
Montserrat,0.05490282200505106
Eritrea,0.05490282200505106
British Virgin Islands,0.05490282200505106
Brunei Darussalam,0.049412539804545956
Guam,0.049412539804545956
São Tomé and Príncipe,0.04392225760404085
Tonga,0.03843197540353574
Bhutan,0.03843197540353574
US Virgin Islands,0.02745141100252553
Timor-Leste,0.02745141100252553
Cook Islands,0.02745141100252553
Turks and Caicos Islands,0.02745141100252553
Somalia,0.02745141100252553
Gibraltar,0.02745141100252553
Djibouti,0.021961128802020426
American Samoa,0.021961128802020426
Anguilla,0.010980564401010213
San Marino,0.005490282200505106
